45,45,42,47,41,36,40,46,46,45,44,41,47,40,47,39,46,39,41,49
51,53,48,52,45,50,47,46,49,46,48,51,50,52,51,51,46,54,44,49
55,52,53,49,54,55,55,50,57,56,58,59,58,57,56,54,55,57,57,52
61,56,56,58,61,55,59,59,57,65,57,65,63,63,61,58,58,58,60,61
71,63,70,63,62,69,73,67,70,69,68,68,66,74,70,66,65,68,70,70
72,78,79,74,72,74,75,76,77,72,76,71,77,77,75,73,76,78,75,73
73,71,76,81,73,76,81,78,73,74,74,73,75,75,74,76,77,76,73,73
75,75,77,73,78,75,76,77,79,76,78,77,79,76,75,76,78,80,75,79
83,83,84,84,83,82,83,84,85,84,83,83,84,84,83,86,83,83,85,86
91,93,92,91,92,92,92,91,92,92,92,92,94,93,92,91,91,93,92,92
102,101,101,101,102,101,102,101,103,101,101,101,101,102,102,101,101,103,101,101
