50,50,44,50,48,46,47,51,48,49,51,48,49,48,48,46,48,49,48,52
42,46,43,44,42,43,38,42,44,41,41,45,42,45,43,46,39,46,40,44
36,36,36,34,37,36,39,34,39,37,41,39,39,41,38,34,36,41,38,35
33,31,32,31,33,30,30,32,30,37,31,37,35,33,34,30,32,34,32,35
33,24,31,25,24,32,34,29,30,29,31,30,30,34,30,27,28,32,33,30
25,28,29,24,22,25,25,26,26,22,27,22,26,28,25,23,26,27,25,23
12,10,15,20,12,15,22,19,12,14,13,12,15,15,14,16,17,19,13,14
4,5,6,2,7,4,5,6,8,6,7,7,8,5,4,5,8,9,5,8
2,2,3,3,2,1,3,3,4,3,2,2,3,3,2,5,3,2,4,5
0,2,1,0,1,1,1,0,1,2,1,1,3,2,1,0,0,3,1,1
1,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
