48,47,40,48,41,39,45,51,42,43,49,41,45,47,47,40,42,44,41,52
50,54,52,55,49,52,45,49,49,49,48,54,52,55,50,51,44,54,47,51
55,55,57,52,55,57,60,53,56,57,57,57,56,56,58,52,55,58,59,53
62,59,58,60,62,60,59,61,59,64,57,66,63,64,63,56,61,62,62,62
72,63,69,62,65,71,71,68,69,68,71,71,70,75,70,68,67,71,72,70
76,79,79,75,73,76,76,77,77,73,78,73,76,78,76,74,77,77,75,72
73,70,76,81,73,76,83,80,73,74,74,73,76,76,75,77,77,80,74,75
75,76,77,73,77,75,76,77,78,77,78,78,79,76,75,75,78,80,76,79
83,83,84,84,83,82,84,84,85,83,83,83,84,84,83,86,84,83,85,85
91,93,92,91,92,92,92,91,92,93,92,92,94,93,92,91,91,94,92,92
102,101,101,101,102,101,102,101,103,101,101,101,101,102,102,101,101,103,101,101
