50,47,43,49,46,44,44,49,46,46,50,46,47,46,47,41,44,46,46,51
50,56,52,53,47,53,49,52,54,51,50,54,53,56,52,54,45,56,50,50
56,55,54,55,55,57,60,54,59,57,60,60,55,59,59,55,57,59,58,54
62,62,62,60,63,59,60,62,61,67,60,66,66,62,65,60,61,63,60,64
74,62,69,64,65,72,74,69,70,70,71,71,70,75,70,68,69,71,72,71
76,79,80,75,73,76,76,77,77,73,78,73,77,79,76,74,77,78,76,74
73,71,76,81,73,76,83,80,73,75,74,73,76,76,75,77,78,80,74,75
75,76,77,73,78,75,76,77,79,77,78,78,79,76,75,76,79,80,76,79
83,83,84,84,83,82,84,84,85,84,83,83,84,84,83,86,84,83,85,86
91,93,92,91,92,92,92,91,92,93,92,92,94,93,92,91,91,94,92,92
102,101,101,101,102,101,102,101,103,101,101,101,101,102,102,101,101,103,101,101
111,111,111,111,111,111,111,111,111,111,112,111,111,111,111,111,111,112,111,111
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
