20,17,15,17,17,19,18,15,16,17,19,17,20,17,18,18,17,17,18,18
13,14,12,13,16,16,15,12,14,16,13,12,12,14,15,15,14,13,14,13
13,11,11,12,12,13,11,13,11,11,12,14,13,11,11,13,13,11,11,11
10,10,11,9,7,13,10,11,12,8,9,11,10,8,11,10,7,5,12,8
6,4,4,5,7,8,6,6,8,7,6,8,9,7,7,7,2,4,8,8
0,1,3,0,2,0,1,2,1,1,2,2,2,3,1,2,1,2,2,2
0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
