15,13,10,12,13,12,17,10,12,11,14,12,14,12,11,12,12,15,13,13
16,14,15,16,20,18,18,12,17,14,16,14,16,18,16,16,17,15,16,16
19,17,18,18,18,19,18,21,16,19,18,21,18,17,17,16,17,19,19,18
22,25,23,24,19,25,23,23,23,23,23,25,25,21,24,26,22,19,23,21
27,25,25,25,28,28,27,26,28,26,26,28,27,28,27,28,23,24,29,26
26,27,29,26,28,26,27,28,27,27,27,28,28,28,27,28,27,28,28,27
31,32,31,31,32,32,32,32,31,31,32,31,31,31,32,31,32,31,31,32
36,36,36,36,36,36,36,36,36,36,37,36,36,36,36,36,36,37,36,36
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
