17,10,9,12,13,15,13,12,12,12,16,8,18,10,11,11,8,13,15,14
18,16,14,14,21,20,13,16,15,19,17,15,15,17,17,19,14,15,15,14
20,18,18,19,20,19,20,23,18,19,20,21,20,20,18,17,21,17,18,21
22,23,24,22,23,26,24,24,21,22,23,23,22,20,23,24,22,19,22,21
25,24,24,25,28,28,24,25,25,25,25,28,27,27,26,26,22,24,27,26
26,27,28,26,27,26,27,28,27,26,28,28,27,29,26,27,27,28,27,27
31,32,31,31,31,32,31,31,31,31,32,31,31,31,32,31,32,31,31,33
36,36,36,36,36,36,36,36,36,36,37,36,36,36,36,36,36,37,36,36
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
